number,control_identifier,control_name,control_text
18,AC-3(4),"Access Enforcement | Discretionary Access Control",""Enforce [Assignment: organization-defined discretionary access control policy] over the set of covered subjects and objects specified in the policy, and where the policy specifies that a subject that has been granted access to information can do one or more of the following:
(a) Pass the information to any other subjects or objects;
(b) Grant its privileges to other subjects; 
(c) Change security attributes on subjects, objects, the system, or the systemÕs components;
(d) Choose the security attributes to be associated with newly created or revised objects; or
(e) Change the rules governing access control.""
19,AC-3(5),"Access Enforcement | Security-relevant Information","Prevent access to [Assignment: organization-defined security-relevant information] except during secure, non-operable system states."
20,AC-3(7),"Access Enforcement | Role-based Access Control","Enforce a role-based access control policy over defined subjects and objects and control access based upon [Assignment: organization-defined roles and users authorized to assume such roles]."
21,AC-3(8),"Access Enforcement | Revocation of Access Authorizations","Enforce the revocation of access authorizations resulting from changes to the security attributes of subjects and objects based on [Assignment: organization-defined rules governing the timing of revocations of access authorizations]."
22,AC-3(9),"Access Enforcement | Controlled Release",""Release information outside of the system only if:
(a) The receiving [Assignment: organization-defined system or system component] provides [Assignment: organization-defined controls]; and
(b) [Assignment: organization-defined controls] are used to validate the appropriateness of the information designated for release.""
23,AC-3(10),"Access Enforcement | Audited Override of Access Control Mechanisms","Employ an audited override of automated access control mechanisms under [Assignment: organization-defined conditions] by [Assignment: organization-defined roles]."
24,AC-3(11),"Access Enforcement | Restrict Access to Specific Information Types","Restrict access to data repositories containing [Assignment: organization-defined information types]."
25,AC-3(12),"Access Enforcement | Assert and Enforce Application Access",""(a) Require applications to assert, as part of the installation process, the access needed to the following system applications and functions: [Assignment: organization-defined system applications and functions];
(b) Provide an enforcement mechanism to prevent unauthorized access; and
(c) Approve access changes after initial installation of the application.""
26,AC-3(13),"Access Enforcement | Attribute-based Access Control","Enforce attribute-based access control policy over defined subjects and objects and control access based upon [Assignment: organization-defined attributes to assume access permissions]."
27,AC-3(14),"Access Enforcement | Individual Access","Provide [Assignment: organization-defined mechanisms] to enable individuals to have access to the following elements of their personally identifiable information: [Assignment: organization-defined elements]."
28,AC-3(15),"Access Enforcement | Discretionary and Mandatory Access Control",""(a) Enforce [Assignment: organization-defined mandatory access control policy] over the set of covered subjects and objects specified in the policy; and
(b) Enforce [Assignment: organization-defined discretionary access control policy] over the set of covered subjects and objects specified in the policy.""
29,AC-4,"Information Flow Enforcement","Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [Assignment: organization-defined information flow control policies]."
30,AC-4(1),"Information Flow Enforcement | Object Security and Privacy Attributes","Use [Assignment: organization-defined security and privacy attributes] associated with [Assignment: organization-defined information, source, and destination objects] to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions."
31,AC-4(2),"Information Flow Enforcement | Processing Domains","Use protected processing domains to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions."
32,AC-4(3),"Information Flow Enforcement | Dynamic Information Flow Control","Enforce [Assignment: organization-defined information flow control policies]."
33,AC-4(4),"Information Flow Enforcement | Flow Control of Encrypted Information","Prevent encrypted information from bypassing [Assignment: organization-defined information flow control mechanisms] by [Selection (one or more): decrypting the information; blocking the flow of the encrypted information; terminating communications sessions attempting to pass encrypted information; [Assignment: organization-defined procedure or method]]."
34,AC-4(5),"Information Flow Enforcement | Embedded Data Types","Enforce [Assignment: organization-defined limitations] on embedding data types within other data types."
35,AC-4(6),"Information Flow Enforcement | Metadata","Enforce information flow control based on [Assignment: organization-defined metadata]."
36,AC-4(7),"Information Flow Enforcement | One-way Flow Mechanisms","Enforce one-way information flows through hardware-based flow control mechanisms."
37,AC-4(8),"Information Flow Enforcement | Security and Privacy Policy Filters",""(a) Enforce information flow control using [Assignment: organization-defined security or privacy policy filters] as a basis for flow control decisions for [Assignment: organization-defined information flows]; and
(b) [Selection (one or more): Block; Strip; Modify; Quarantine] data after a filter processing failure in accordance with [Assignment: organization-defined security or privacy policy].""
38,AC-4(9),"Information Flow Enforcement | Human Reviews","Enforce the use of human reviews for [Assignment: organization-defined information flows] under the following conditions: [Assignment: organization-defined conditions]."
39,AC-4(10),"Information Flow Enforcement | Enable and Disable Security or Privacy Policy Filters","Provide the capability for privileged administrators to enable and disable [Assignment: organization-defined security or privacy policy filters] under the following conditions: [Assignment: organization-defined conditions]."
40,AC-4(11),"Information Flow Enforcement | Configuration of Security or Privacy Policy Filters","Provide the capability for privileged administrators to configure [Assignment: organization-defined security or privacy policy filters] to support different security or privacy policies."
41,AC-4(12),"Information Flow Enforcement | Data Type Identifiers","When transferring information between different security domains, use [Assignment: organization-defined data type identifiers] to validate data essential for information flow decisions."
42,AC-4(13),"Information Flow Enforcement | Decomposition into Policy-relevant Subcomponents","When transferring information between different security domains, decompose information into [Assignment: organization-defined policy-relevant subcomponents] for submission to policy enforcement mechanisms."
43,AC-4(14),"Information Flow Enforcement | Security or Privacy Policy Filter Constraints","When transferring information between different security domains, implement [Assignment: organization-defined security or privacy policy filters] requiring fully enumerated formats that restrict data structure and content."
44,AC-4(15),"Information Flow Enforcement | Detection of Unsanctioned Information","When transferring information between different security domains, examine the information for the presence of [Assignment: organization-defined unsanctioned information] and prohibit the transfer of such information in accordance with the [Assignment: organization-defined security or privacy policy]."
45,AC-4(17),"Information Flow Enforcement | Domain Authentication","Uniquely identify and authenticate source and destination points by [Selection (one or more): organization; system; application; service; individual] for information transfer."
46,AC-4(19),"Information Flow Enforcement | Validation of Metadata","When transferring information between different security domains, implement [Assignment: organization-defined security or privacy policy filters] on metadata."
47,AC-4(20),"Information Flow Enforcement | Approved Solutions","Employ [Assignment: organization-defined solutions in approved configurations] to control the flow of [Assignment: organization-defined information] across security domains."
48,AC-4(21),"Information Flow Enforcement | Physical or Logical Separation of Information Flows","Separate information flows logically or physically using [Assignment: organization-defined mechanisms and/or techniques] to accomplish [Assignment: organization-defined required separations by types of information]."
49,AC-4(22),"Information Flow Enforcement | Access Only","Provide access from a single device to computing platforms, applications, or data residing in multiple different security domains, while preventing information flow between the different security domains."
50,AC-4(23),"Information Flow Enforcement | Modify Non-releasable Information","When transferring information between different security domains, modify non-releasable information by implementing [Assignment: organization-defined modification action]."
51,AC-4(24),"Information Flow Enforcement | Internal Normalized Format","When transferring information between different security domains, parse incoming data into an internal normalized format and regenerate the data to be consistent with its intended specification."
52,AC-4(25),"Information Flow Enforcement | Data Sanitization","When transferring information between different security domains, sanitize data to minimize [Selection (one or more): delivery of malicious content, command and control of malicious code, malicious code augmentation, and steganography encoded data; spillage of sensitive information] in accordance with [Assignment: organization-defined policy]]."
53,AC-4(26),"Information Flow Enforcement | Audit Filtering Actions","When transferring information between different security domains, record and audit content filtering actions and results for the information being filtered."
54,AC-4(27),"Information Flow Enforcement | Redundant/independent Filtering Mechanisms","When transferring information between different security domains, implement content filtering solutions that provide redundant and independent filtering mechanisms for each data type."
55,AC-4(28),"Information Flow Enforcement | Linear Filter Pipelines","When transferring information between different security domains, implement a linear content filter pipeline that is enforced with discretionary and mandatory access controls."
56,AC-4(29),"Information Flow Enforcement | Filter Orchestration Engines",""When transferring information between different security domains, employ content filter orchestration engines to ensure that:
(a) Content filtering mechanisms successfully complete execution without errors; and
(b) Content filtering actions occur in the correct order and comply with [Assignment: organization-defined policy].""
57,AC-4(30),"Information Flow Enforcement | Filter Mechanisms Using Multiple Processes","When transferring information between different security domains, implement content filtering mechanisms using multiple processes."
58,AC-4(31),"Information Flow Enforcement | Failed Content Transfer Prevention","When transferring information between different security domains, prevent the transfer of failed content to the receiving domain."
59,AC-4(32),"Information Flow Enforcement | Process Requirements for Information Transfer",""When transferring information between different security domains, the process that transfers information between filter pipelines:
(a) Does not filter message content;
(b) Validates filtering metadata;
(c) Ensures the content associated with the filtering metadata has successfully completed filtering; and
(d) Transfers the content to the destination filter pipeline.""
60,AC-5,"Separation of Duties","a. Identify and document [Assignment: organization-defined duties of individuals requiring separation]; and
b. Define system access authorizations to support separation of duties."
61,AC-6,"Least Privilege","Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks."
62,AC-6(1),"Least Privilege | Authorize Access to Security Functions",""Authorize access for [Assignment: organization-defined individuals or roles] to:
(a) [Assignment: organization-defined security functions (deployed in hardware, software, and firmware)]; and
(b) [Assignment: organization-defined security-relevant information].""
63,AC-6(2),"Least Privilege | Non-privileged Access for Nonsecurity Functions","Require that users of system accounts (or roles) with access to [Assignment: organization-defined security functions or security-relevant information] use non-privileged accounts or roles, when accessing nonsecurity functions."
64,AC-6(3),"Least Privilege | Network Access to Privileged Commands","Authorize network access to [Assignment: organization-defined privileged commands] only for [Assignment: organization-defined compelling operational needs] and document the rationale for such access in the security plan for the system."
65,AC-6(4),"Least Privilege | Separate Processing Domains","Provide separate processing domains to enable finer-grained allocation of user privileges."
66,AC-6(5),"Least Privilege | Privileged Accounts","Restrict privileged accounts on the system to [Assignment: organization-defined personnel or roles]."
67,AC-6(6),"Least Privilege | Privileged Access by Non-organizational Users","Prohibit privileged access to the system by non-organizational users."
68,AC-6(7),"Least Privilege | Review of User Privileges",""(a) Review [Assignment: organization-defined frequency] the privileges assigned to [Assignment: organization-defined roles or classes of users] to validate the need for such privileges; and
(b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.""
69,AC-6(8),"Least Privilege | Privilege Levels for Code Execution","Prevent the following software from executing at higher privilege levels than users executing the software: [Assignment: organization-defined software]."
70,AC-6(9),"Least Privilege | Log Use of Privileged Functions","Log the execution of privileged functions."
71,AC-6(10),"Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions","Prevent non-privileged users from executing privileged functions."
72,AC-7,"Unsuccessful Logon Attempts",""a. Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon attempts by a user during a [Assignment: organization-defined time period]; and
b. Automatically [Selection (one or more): lock the account or node for an [Assignment: organization-defined time period]; lock the account or node until released by an administrator; delay next logon prompt per [Assignment: organization-defined delay algorithm]; notify system administrator; take other [Assignment: organization-defined action]] when the maximum number of unsuccessful attempts is exceeded.""
73,AC-7(2),"Unsuccessful Logon Attempts | Purge or Wipe Mobile Device","Purge or wipe information from [Assignment: organization-defined mobile devices] based on [Assignment: organization-defined purging or wiping requirements and techniques] after [Assignment: organization-defined number] consecutive, unsuccessful device logon attempts."
74,AC-7(3),"Unsuccessful Logon Attempts | Biometric Attempt Limiting","Limit the number of unsuccessful biometric logon attempts to [Assignment: organization-defined number]."
75,AC-7(4),"Unsuccessful Logon Attempts | Use of Alternate Authentication Factor",""(a) Allow the use of [Assignment: organization-defined authentication factors] that are different from the primary authentication factors after the number of organization-defined consecutive invalid logon attempts have been exceeded; and
(b) Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon attempts through use of the alternative factors by a user during a [Assignment: organization-defined time period].""
76,AC-8,"System Use Notification",""a. Display [Assignment: organization-defined system use notification message or banner] to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and state that:
1. Users are accessing a U.S. Government system;
2. System usage may be monitored, recorded, and subject to audit;
3. Unauthorized use of the system is prohibited and subject to criminal and civil penalties; and
4. Use of the system indicates consent to monitoring and recording;
b. Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system; and
c. For publicly accessible systems:
1. Display system use information [Assignment: organization-defined conditions], before granting further access to the publicly accessible system;
2. Display references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and
3. Include a description of the authorized uses of the system.""
77,AC-9,"Previous Logon Notification","Notify the user, upon successful logon to the system, of the date and time of the last logon."
78,AC-9(1),"Previous Logon Notification | Unsuccessful Logons","Notify the user, upon successful logon, of the number of unsuccessful logon attempts since the last successful logon."
79,AC-9(2),"Previous Logon Notification | Successful and Unsuccessful Logons","Notify the user, upon successful logon, of the number of [Selection: successful logons; unsuccessful logon attempts; both] during [Assignment: organization-defined time period]."
80,AC-9(3),"Previous Logon Notification | Notification of Account Changes","Notify the user, upon successful logon, of changes to [Assignment: organization-defined security-related characteristics or parameters of the userÕs account] during [Assignment: organization-defined time period]."
81,AC-9(4),"Previous Logon Notification | Additional Logon Information","Notify the user, upon successful logon, of the following additional information: [Assignment: organization-defined additional information]."
82,AC-10,"Concurrent Session Control","Limit the number of concurrent sessions for each [Assignment: organization-defined account and/or account type] to [Assignment: organization-defined number]."
83,AC-11,"Device Lock",""a. Prevent further access to the system by [Selection (one or more): initiating a device lock after [Assignment: organization-defined time period] of inactivity; requiring the user to initiate a device lock before leaving the system unattended]; and
b. Retain the device lock until the user reestablishes access using established identification and authentication procedures.""
84,AC-11(1),"Device Lock | Pattern-hiding Displays","Conceal, via the device lock, information previously visible on the display with a publicly viewable image."
85,AC-12,"Session Termination","Automatically terminate a user session after [Assignment: organization-defined conditions or trigger events requiring session disconnect]."
86,AC-12(1),"Session Termination | User-initiated Logouts","Provide a logout capability for user-initiated communications sessions whenever authentication is used to gain access to [Assignment: organization-defined information resources]."
87,AC-12(2),"Session Termination | Termination Message","Display an explicit logout message to users indicating the termination of authenticated communications sessions."
88,AC-12(3),"Session Termination | Timeout Warning Message","Display an explicit message to users indicating that the session will end in [Assignment: organization-defined time until end of session]."
89,AC-14,"Permitted Actions Without Identification or Authentication",""a. Identify [Assignment: organization-defined user actions] that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and
b. Document and provide supporting rationale in the security plan for the system, user actions not requiring identification or authentication.""
90,AC-16,"Security and Privacy Attributes",""a. Provide the means to associate [Assignment: organization-defined types of security and privacy attributes] with [Assignment: organization-defined security and privacy attribute values] for information in storage, in process, and/or in transmission;
b. Ensure that the attribute associations are made and retained with the information;
c. Establish the following permitted security and privacy attributes from the attributes defined in AC-16a for [Assignment: organization-defined systems]: [Assignment: organization-defined security and privacy attributes];
d. Determine the following permitted attribute values or ranges for each of the established attributes: [Assignment: organization-defined attribute values or ranges for established attributes];
e. Audit changes to attributes; and
f. Review [Assignment: organization-defined security and privacy attributes] for applicability [Assignment: organization-defined frequency].""
91,AC-16(1),"Security and Privacy Attributes | Dynamic Attribute Association","Dynamically associate security and privacy attributes with [Assignment: organization-defined subjects and objects] in accordance with the following security and privacy policies as information is created and combined: [Assignment: organization-defined security and privacy policies]."
92,AC-16(2),"Security and Privacy Attributes | Attribute Value Changes by Authorized Individuals","Provide authorized individuals (or processes acting on behalf of individuals) the capability to define or change the value of associated security and privacy attributes."
93,AC-16(3),"Security and Privacy Attributes | Maintenance of Attribute Associations by System","Maintain the association and integrity of [Assignment: organization-defined security and privacy attributes] to [Assignment: organization-defined subjects and objects]."
94,AC-16(4),"Security and Privacy Attributes | Association of Attributes by Authorized Individuals","Provide the capability to associate [Assignment: organization-defined security and privacy attributes] with [Assignment: organization-defined subjects and objects] by authorized individuals (or processes acting on behalf of individuals)."
95,AC-16(5),"Security and Privacy Attributes | Attribute Displays on Objects to Be Output","Display security and privacy attributes in human-readable form on each object that the system transmits to output devices to identify [Assignment: organization-defined special dissemination, handling, or distribution instructions] using [Assignment: organization-defined human-readable, standard naming conventions]."
96,AC-16(6),"Security and Privacy Attributes | Maintenance of Attribute Association","Require personnel to associate and maintain the association of [Assignment: organization-defined security and privacy attributes] with [Assignment: organization-defined subjects and objects] in accordance with [Assignment: organization-defined security and privacy policies]."
97,AC-16(7),"Security and Privacy Attributes | Consistent Attribute Interpretation","Provide a consistent interpretation of security and privacy attributes transmitted between distributed system components."
98,AC-16(8),"Security and Privacy Attributes | Association Techniques and Technologies","Implement [Assignment: organization-defined techniques and technologies] in associating security and privacy attributes to information."
99,AC-16(9),"Security and Privacy Attributes | Attribute Reassignment — Regrading Mechanisms","Change security and privacy attributes associated with information only via regrading mechanisms validated using [Assignment: organization-defined techniques or procedures]."
100,AC-16(10),"Security and Privacy Attributes | Attribute Configuration by Authorized Individuals","Provide authorized individuals the capability to define or change the type and value of security and privacy attributes available for association with subjects and objects."
101,AC-17,"Remote Access",""a. Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and
b. Authorize each type of remote access to the system prior to allowing such connections.""
102,AC-17(1),"Remote Access | Monitoring and Control","Employ automated mechanisms to monitor and control remote access methods."
103,AC-17(2),"Remote Access | Protection of Confidentiality and Integrity Using Encryption","Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions."
104,AC-17(3),"Remote Access | Managed Access Control Points","Route remote accesses through authorized and managed network access control points."
105,AC-17(4),"Remote Access | Privileged Commands and Access",""(a) Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides assessable evidence and for the following needs: [Assignment: organization-defined needs]; and
(b) Document the rationale for remote access in the security plan for the system.""
106,AC-17(6),"Remote Access | Protection of Mechanism Information","Protect information about remote access mechanisms from unauthorized use and disclosure."
107,AC-17(9),"Remote Access | Disconnect or Disable Access","Provide the capability to disconnect or disable remote access to the system within [Assignment: organization-defined time period]."
108,AC-17(10),"Remote Access | Authenticate Remote Commands","Implement [Assignment: organization-defined mechanisms] to authenticate [Assignment: organization-defined remote commands]."
109,AC-18,"Wireless Access",""a. Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and
b. Authorize each type of wireless access to the system prior to allowing such connections.""
110,AC-18(1),"Wireless Access | Authentication and Encryption","Protect wireless access to the system using authentication of [Selection (one or more): users; devices] and encryption."
111,AC-18(3),"Wireless Access | Disable Wireless Networking","Disable, when not intended for use, wireless networking capabilities embedded within system components prior to issuance and deployment."
112,AC-18(4),"Wireless Access | Restrict Configurations by Users","Identify and explicitly authorize users allowed to independently configure wireless networking capabilities."
113,AC-18(5),"Wireless Access | Antennas and Transmission Power Levels","Select radio antennas and calibrate transmission power levels to reduce the probability that signals from wireless access points can be received outside of organization-controlled boundaries."
114,AC-19,"Access Control for Mobile Devices",""a. Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas; and
b. Authorize the connection of mobile devices to organizational systems.""
115,AC-19(4),"Access Control for Mobile Devices | Restrictions for Classified Information",""(a) Prohibit the use of unclassified mobile devices in facilities containing systems processing, storing, or transmitting classified information unless specifically permitted by the authorizing official; and
(b) Enforce the following restrictions on individuals permitted by the authorizing official to use unclassified mobile devices in facilities containing systems processing, storing, or transmitting classified information:
(1) Connection of unclassified mobile devices to classified systems is prohibited;
(2) Connection of unclassified mobile devices to unclassified systems requires approval from the authorizing official;
(3) Use of internal or external modems or wireless interfaces within the unclassified mobile devices is prohibited; and
(4) Unclassified mobile devices and the information stored on those devices are subject to random reviews and inspections by [Assignment: organization-defined security officials], and if classified information is found, the incident handling policy is followed.
(c) Restrict the connection of classified mobile devices to classified systems in accordance with [Assignment: organization-defined security policies].""
116,AC-19(5),"Access Control for Mobile Devices | Full Device or Container-based Encryption","Employ [Selection: full-device encryption; container-based encryption] to protect the confidentiality and integrity of information on [Assignment: organization-defined mobile devices]."
117,AC-20,"Use of External Systems",""a. [Selection (one or more): Establish [Assignment: organization-defined terms and conditions]; Identify [Assignment: organization-defined controls asserted to be implemented on external systems]], consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to:
1. Access the system from external systems; and
2. Process, store, or transmit organization-controlled information using external systems; or
b. Prohibit the use of [Assignment: organizationally-defined types of external systems].""
118,AC-20(1),"Use of External Systems | Limits on Authorized Use",""Permit authorized individuals to use an external system to access the system or to process, store, or transmit organization-controlled information only after:
(a) Verification of the implementation of controls on the external system as specified in the organizationÕs security and privacy policies and security and privacy plans; or
(b) Retention of approved system connection or processing agreements with the organizational entity hosting the external system.""
119,AC-20(2),"Use of External Systems | Portable Storage Devices — Restricted Use","Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using [Assignment: organization-defined restrictions]."
120,AC-20(3),"Use of External Systems | Non-organizationally Owned Systems  — Restricted Use","Restrict the use of non-organizationally owned systems or system components to process, store, or transmit organizational information using [Assignment: organization-defined restrictions]."
121,AC-20(4),"Use of External Systems | Network Accessible Storage Devices — Prohibited Use","Prohibit the use of [Assignment: organization-defined network accessible storage devices] in external systems."
122,AC-20(5),"Use of External Systems | Portable Storage Devices — Prohibited Use","Prohibit the use of organization-controlled portable storage devices by authorized individuals on external systems."
123,AC-21,"Information Sharing",""a. Enable authorized users to determine whether access authorizations assigned to a sharing partner match the informationÕs access and use restrictions for [Assignment: organization-defined information sharing circumstances where user discretion is required]; and
b. Employ [Assignment: organization-defined automated mechanisms or manual processes] to assist users in making information sharing and collaboration decisions.""
124,AC-21(1),"Information Sharing | Automated Decision Support","Employ [Assignment: organization-defined automated mechanisms] to enforce information-sharing decisions by authorized users based on access authorizations of sharing partners and access restrictions on information to be shared."
125,AC-21(2),"Information Sharing | Information Search and Retrieval","Implement information search and retrieval services that enforce [Assignment: organization-defined information sharing restrictions]."
126,AC-22,"Publicly Accessible Content",""a. Designate individuals authorized to make information publicly accessible;
b. Train authorized individuals to ensure that publicly accessible information does not contain nonpublic information;
c. Review the proposed content of information prior to posting onto the publicly accessible system to ensure that nonpublic information is not included; and
d. Review the content on the publicly accessible system for nonpublic information [Assignment: organization-defined frequency] and remove such information, if discovered.""
127,AC-23,"Data Mining Protection","Employ [Assignment: organization-defined data mining prevention and detection techniques] for [Assignment: organization-defined data storage objects] to detect and protect against unauthorized data mining."
128,AC-24,"Access Control Decisions","[Selection: Establish procedures; Implement mechanisms] to ensure [Assignment: organization-defined access control decisions] are applied to each access request prior to access enforcement."
129,AC-24(1),"Access Control Decisions | Transmit Access Authorization Information","Transmit [Assignment: organization-defined access authorization information] using [Assignment: organization-defined controls] to [Assignment: organization-defined systems] that enforce access control decisions."
130,AC-24(2),"Access Control Decisions | No User or Process Identity","Enforce access control decisions based on [Assignment: organization-defined security or privacy attributes] that do not include the identity of the user or process acting on behalf of the user."
131,AC-25,"Reference Monitor","Implement a reference monitor for [Assignment: organization-defined access control policies] that is tamperproof, always invoked, and small enough to be subject to analysis and testing, the completeness of which can be assured."
132,AT-1,"Policy and Procedures",""a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] awareness and training policy that:
(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2. Procedures to facilitate the implementation of the awareness and training policy and the associated awareness and training controls;
b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the awareness and training policy and procedures; and
c. Review and update the current awareness and training:
1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].""
133,AT-2,"Literacy Training and Awareness","a. Provide security and privacy literacy training to system users (including managers, senior executives, and contractors):
1. As part of initial training for new users and [Assignment: organization-defined frequency] thereafter; and
2. When required by system changes or following [Assignment: organization-defined events];
b. Employ the following techniques to increase the security and privacy awareness of system users [Assignment: organization-defined awareness techniques];
c. Update literacy training and awareness content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
d. Incorporate lessons learned from internal or external security incidents or breaches into literacy training and awareness techniques."
134,AT-2(1),"Literacy Training and Awareness | Practical Exercises","Provide practical exercises in literacy training that simulate events and incidents."
